"자치구별(1)",자치구별(2),2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2010
"자치구별(1)",자치구별(2),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명),발생건수 (건),자동차 1만대당 발생건수 (건),사망자수 (명),인구 10만명당 사망자수 (명),부상자수 (명),인구 10만명당 부상자수 (명)
"합계",소계,33465,92.9,212,2.2,44327,461.9,33811,93.5,180,1.9,45414,471.2,33698,93.3,221,2.3,45329,468.9,33913,93.9,243,2.5,45223,464.5,35227,97.4,219,2.2,47513,479.4,39258,109.9,250,2.5,53904,538.4,38795,108.6,304,3.0,53751,534.9,38625,108.3,343,3.4,53810,531.5,40039,113.3,348,3.4,55669,545.6,41665,118.7,376,3.7,58656,569.6,40792,117.5,400,3.9,57345,553.0,39439,115.2,378,3.6,56761,546.4,40829,119.6,424,4.1,58583,561.0,40451,119.4,435,4.1,57625,547.3,41662,122.8,429,4.1,59718,564.7
"합계",종로구,917,146.0,5,3.3,1253,837.5,988,155.2,8,5.3,1331,884.7,974,154.0,3,2.0,1351,887.6,778,122.6,6,3.9,1050,682.8,903,142.3,5,3.1,1224,769.8,1133,178.9,6,3.7,1559,963.1,1134,177.5,6,3.7,1546,948.3,1190,185.3,13,7.9,1689,1028.3,1299,206.5,9,5.6,1748,1079.5,1414,222.9,8,4.9,1933,1179.9,1314,205.2,11,6.7,1790,1082.6,1274,198.7,13,7.7,1770,1054.4,1374,211.1,12,6.9,1994,1151.6,1421,219.0,14,7.9,1994,1123.9,1436,229.6,19,10.6,2009,1120.1
"합계",중구,976,146.6,16,12.2,1236,942.0,931,134.7,3,2.3,1194,906.0,943,129.2,2,1.5,1212,926.7,854,113.3,3,2.3,1156,877.2,955,145.7,6,4.5,1248,927.0,1184,179.2,5,3.7,1615,1183.3,1128,169.8,9,6.6,1506,1110.3,1252,188.7,4,3.0,1684,1251.2,1288,193.8,17,12.7,1716,1276.7,1338,197.6,8,6.0,1803,1342.2,1305,186.0,7,5.1,1785,1310.3,1442,199.7,10,7.2,1975,1431.3,1458,183.7,12,8.5,2018,1433.2,1497,199.4,13,9.2,2025,1430.4,1540,202.1,7,5.0,2152,1524.1
"합계",용산구,868,95.6,12,5.5,1174,540.5,996,107.4,11,4.8,1366,601.5,1014,111.4,11,4.7,1330,570.1,1014,105.1,5,2.1,1369,576.9,890,92.9,12,4.9,1178,481.5,1187,128.1,10,4.1,1614,658.3,1330,142.2,14,5.7,1852,755.6,1337,142.9,12,4.9,1949,797.3,1428,155.1,12,4.9,2069,844.1,1516,163.6,18,7.3,2110,851.1,1350,146.5,8,3.2,1971,788.7,1391,150.6,13,5.2,2023,803.0,1203,130.0,11,4.3,1809,708.6,1170,126.9,9,3.5,1704,657.2,1245,136.8,15,5.8,1738,675.9
"합계",성동구,919,76.1,7,2.5,1155,410.6,919,75.8,6,2.1,1221,428.8,948,78.0,8,2.8,1222,424.0,1057,84.6,8,2.7,1362,465.4,1119,88.7,9,3.0,1481,492.8,1091,86.3,13,4.2,1439,465.7,1143,90.2,9,2.8,1561,493.3,1076,86.9,15,4.8,1501,480.0,1099,91.6,15,4.9,1541,501.7,1227,105.8,8,2.6,1725,565.5,1189,106.4,11,3.6,1712,563.4,1100,100.3,8,2.6,1458,475.6,986,91.6,6,2.0,1400,456.2,1154,109.0,21,6.8,1603,519.2,1097,103.3,15,4.7,1528,482.2
"합계",광진구,785,67.8,4,1.1,1018,292.0,717,61.4,4,1.1,899,256.0,708,60.2,9,2.6,966,275.0,922,78.7,4,1.1,1216,344.8,869,73.9,4,1.1,1145,318.0,973,82.8,3,0.8,1316,358.6,1108,93.2,10,2.7,1474,397.2,1064,90.9,16,4.3,1441,387.1,1045,90.4,9,2.4,1466,394.0,1235,107.5,17,4.5,1744,464.8,1480,130.3,12,3.2,2081,551.4,1303,114.3,10,2.6,1916,502.3,1494,131.9,17,4.4,2190,569.9,1430,128.0,23,5.9,2033,525.8,1540,139.7,17,4.4,2212,569.0
"합계",동대문구,1520,119.7,5,1.4,1906,531.5,1674,131.7,10,2.8,2039,566.6,1534,124.0,12,3.4,1843,521.2,1390,113.4,17,4.8,1656,470.4,1448,118.7,10,2.8,1845,516.8,1565,128.7,15,4.1,1988,547.6,1699,139.2,14,3.8,2160,592.9,1718,141.2,25,6.8,2139,584.4,2051,168.9,14,3.8,2629,709.9,2085,172.5,16,4.3,2731,730.6,1848,154.3,27,7.2,2407,639.6,1970,167.5,16,4.3,2524,670.5,1881,161.8,20,5.3,2511,668.4,1777,155.8,13,3.4,2431,642.2,1834,162.1,25,6.6,2484,654.8
"합계",중랑구,1199,84.6,8,2.1,1623,421.2,1268,89.4,7,1.8,1704,439.8,1401,99.2,10,2.6,1890,484.4,1373,98.6,7,1.8,1826,466.0,1447,104.3,4,1.0,1952,488.5,1620,118.2,12,3.0,2122,527.8,1565,113.2,10,2.5,2135,523.1,1639,118.6,6,1.5,2228,539.8,1535,112.5,9,2.2,2030,488.4,1722,127.9,16,3.8,2269,542.0,1622,122.2,11,2.6,2180,514.9,1716,132.5,9,2.1,2369,562.4,1753,136.7,11,2.6,2401,566.7,1782,140.7,12,2.8,2386,556.6,2080,164.3,17,3.9,2841,657.2
"합계",성북구,1286,88.3,7,1.6,1628,374.2,1256,85.9,8,1.8,1581,360.8,1288,87.9,8,1.8,1626,367.9,1285,88.7,15,3.4,1606,364.9,1275,86.9,7,1.6,1622,362.8,1509,103.5,8,1.8,2007,441.3,1427,99.9,14,3.1,1980,442.3,1557,108.5,17,3.7,2068,454.1,1618,113.4,13,2.8,2106,456.2,1680,117.5,19,4.1,2286,486.8,1664,116.7,17,3.6,2227,467.9,1536,107.4,9,1.9,2149,442.8,1572,110.1,11,2.2,2055,418.8,1569,111.2,22,4.4,2103,425.3,1611,114.8,10,2.0,2197,441.4
"합계",강북구,877,95.8,5,1.7,1123,388.1,972,105.0,5,1.7,1217,415.4,1044,112.0,6,2.0,1266,425.3,1017,109.4,6,2.0,1302,430.3,1087,110.9,3,1.0,1420,455.8,1277,130.0,7,2.2,1706,537.0,1216,122.6,13,4.0,1633,505.7,1202,120.5,9,2.7,1567,477.7,1227,124.2,15,4.5,1678,507.4,1265,129.5,16,4.8,1684,503.6,1313,136.0,12,3.5,1773,523.9,1107,115.0,10,2.9,1525,446.0,1212,125.6,9,2.6,1680,484.9,1174,124.1,7,2.0,1648,472.6,1293,137.4,16,4.6,1780,508.6
"합계",도봉구,522,48.6,5,1.6,671,219.3,530,48.9,7,2.3,685,221.3,522,47.9,2,0.6,705,224.5,591,54.1,3,0.9,768,240.5,741,66.9,7,2.1,990,302.4,852,76.6,4,1.2,1163,346.5,824,73.5,6,1.8,1061,310.6,944,84.3,9,2.6,1239,357.9,949,84.9,11,3.1,1306,372.9,914,82.6,8,2.3,1255,355.3,919,83.9,14,3.9,1205,338.8,934,85.9,8,2.2,1259,349.1,983,90.6,16,4.4,1294,355.1,933,86.2,15,4.1,1279,347.6,975,90.7,11,3.0,1362,367.4
"합계",노원구,1288,77.3,5,1.0,1717,345.8,1366,81.5,9,1.8,1869,371.6,1384,82.5,6,1.2,1913,376.6,1413,84.4,8,1.6,1940,376.7,1462,87.1,5,0.9,2016,382.5,1703,102.0,8,1.5,2302,428.4,1569,93.1,14,2.6,2227,406.3,1499,88.3,11,2.0,2055,368.2,1535,89.8,13,2.3,2216,388.0,1459,85.9,15,2.6,2098,362.8,1516,90.1,17,2.9,2038,347.7,1522,90.5,13,2.2,2175,366.1,1623,96.0,13,2.2,2330,387.8,1529,90.5,14,2.3,2231,366.9,1683,99.2,25,4.1,2434,395.5
"합계",은평구,1218,79.0,2,0.4,1574,338.2,1039,67.1,7,1.5,1353,287.3,918,59.9,9,1.9,1256,266.9,867,56.9,11,2.3,1218,255.3,953,62.1,14,2.9,1415,292.3,1119,74.3,7,1.4,1464,302.1,1134,75.3,12,2.5,1580,324.0,1067,71.2,12,2.4,1489,303.1,1121,75.3,14,2.8,1518,306.1,1203,81.4,16,3.2,1673,332.9,1325,91.0,11,2.2,1889,375.4,1270,87.8,10,2.0,1716,337.7,1519,106.6,21,4.2,2197,434.3,1509,109.7,20,4.0,2058,413.0,1514,112.2,16,3.2,2120,430.1
"합계",서대문구,818,77.6,6,1.9,1105,346.8,916,86.9,4,1.2,1220,380.5,974,93.2,5,1.6,1303,407.8,930,90.9,9,2.9,1206,382.1,928,88.7,6,1.9,1256,388.9,1113,109.2,14,4.3,1609,497.9,1033,101.6,5,1.5,1403,434.3,1032,102.2,8,2.5,1430,440.0,1135,114.3,14,4.3,1566,480.6,1071,110.2,13,4.0,1492,461.8,1122,118.8,16,5.0,1590,495.5,1081,115.0,14,4.3,1578,486.9,1041,111.1,13,4.0,1645,506.6,1061,115.7,14,4.3,1496,461.0,1141,122.1,15,4.5,1719,514.9
"합계",마포구,1201,88.0,11,3.0,1641,440.2,1250,91.2,14,3.7,1715,457.1,1065,78.2,10,2.7,1483,394.9,1102,79.2,14,3.7,1573,415.4,1272,92.9,13,3.4,1754,459.3,1494,110.6,7,1.8,2123,550.1,1671,123.7,11,2.8,2429,628.7,1859,138.9,8,2.1,2793,724.0,1768,131.5,15,3.8,2605,666.4,1802,133.8,17,4.3,2730,685.3,1759,132.4,20,5.1,2633,665.2,1747,135.1,23,5.9,2732,698.5,1561,121.6,23,5.8,2363,600.4,1623,127.0,23,5.8,2530,634.7,1726,136.4,22,5.5,2697,673.5
"합계",양천구,1274,78.0,7,1.6,1689,388.9,1221,74.3,5,1.1,1624,369.7,1165,70.6,8,1.8,1529,344.4,1305,77.9,14,3.1,1692,375.6,1344,77.9,7,1.5,1829,399.5,1506,89.4,11,2.4,2085,451.0,1428,84.4,11,2.3,1939,414.2,1343,79.3,13,2.7,1789,376.6,1493,89.0,12,2.5,2056,426.7,1596,95.3,14,2.9,2231,456.2,1466,88.7,13,2.6,2000,407.6,1340,81.2,14,2.8,1905,383.4,1418,86.2,14,2.8,2036,406.8,1444,88.7,14,2.8,2006,396.8,1463,89.9,12,2.4,2070,409.7
"합계",강서구,1538,69.1,12,2.1,2001,355.9,1518,67.7,9,1.6,2112,371.3,1606,71.1,15,2.6,2108,366.8,1501,66.8,13,2.2,2042,352.2,1575,70.2,17,2.9,2131,363.7,1829,81.9,20,3.3,2491,416.4,1502,67.4,11,1.8,2208,365.8,1584,71.8,12,2.0,2155,354.3,1691,78.7,13,2.2,2230,370.4,1932,92.2,12,2.0,2762,463.7,1806,88.6,32,5.4,2614,441.8,1715,88.4,26,4.5,2517,437.6,1767,90.9,25,4.4,2573,448.4,1885,96.6,16,2.8,2740,475.8,1872,95.1,21,3.6,2594,446.9
"합계",구로구,1320,82.1,7,1.7,1736,421.4,1359,83.5,5,1.2,1840,442.7,1274,77.9,12,2.9,1691,404.1,1350,84.0,9,2.1,1729,410.5,1325,82.2,10,2.3,1810,418.5,1529,95.5,13,3.0,2096,477.0,1532,95.6,13,3.0,2129,485.5,1433,89.4,12,2.7,1960,443.9,1511,96.3,9,2.0,2139,475.8,1508,97.4,19,4.2,2127,467.9,1566,102.2,19,4.2,2205,482.4,1415,94.6,19,4.2,2165,478.8,1582,108.6,21,4.6,2366,520.6,1542,105.0,15,3.3,2226,485.1,1568,103.5,14,3.1,2270,501.5
"합계",금천구,798,75.6,8,3.3,1071,448.0,876,82.6,7,2.9,1232,511.0,844,81.2,9,3.7,1152,474.4,827,81.5,16,6.5,1167,476.5,810,80.8,6,2.4,1084,437.4,920,92.8,9,3.6,1353,537.3,932,94.5,6,2.4,1326,522.0,824,84.0,6,2.4,1228,484.4,799,82.8,15,5.9,1133,444.9,914,96.8,10,3.9,1374,536.4,1029,111.0,13,5.0,1535,594.9,939,103.7,10,3.9,1419,549.5,1017,116.8,21,8.1,1540,590.6,1125,133.5,10,3.8,1649,624.0,1123,135.5,12,4.5,1702,643.4
"합계",영등포구,1948,123.2,8,2.0,2643,665.5,1900,119.6,7,1.8,2619,658.4,1998,125.2,20,5.0,2707,680.0,2178,132.2,15,3.7,2967,740.1,2208,135.3,7,1.7,3102,761.5,2439,154.1,11,2.7,3451,860.6,2493,155.5,22,5.5,3532,875.1,2386,146.7,22,5.5,3519,875.3,2403,147.5,22,5.4,3473,853.8,2462,151.2,28,6.7,3564,853.0,2193,139.6,26,6.2,3128,742.2,2157,139.5,29,6.9,3128,742.0,2179,140.9,32,7.5,3206,751.0,2310,150.3,28,6.4,3326,756.7,2253,141.7,30,6.7,3348,751.3
"합계",동작구,1230,102.5,2,0.5,1615,416.9,1242,103.3,6,1.5,1668,428.0,1217,101.5,7,1.8,1651,422.9,1148,94.4,11,2.8,1520,385.4,1307,108.1,10,2.5,1819,453.0,1406,116.6,5,1.2,2021,494.2,1412,117.2,9,2.2,1892,462.2,1409,117.5,20,4.9,2043,500.1,1471,123.3,19,4.6,2028,490.8,1386,118.1,7,1.7,1994,483.1,1399,119.5,13,3.1,1901,453.4,1233,105.7,11,2.6,1848,438.4,1258,110.3,14,3.4,1707,410.1,1192,107.6,13,3.1,1676,405.2,1131,102.3,13,3.1,1594,385.2
"합계",관악구,1254,90.4,13,2.6,1581,319.0,980,70.0,10,2.0,1252,251.5,1172,83.5,9,1.8,1535,306.2,1419,101.8,8,1.6,1829,366.2,1444,99.9,13,2.6,1819,356.8,1363,94.3,10,1.9,1755,339.2,1300,89.1,8,1.5,1717,330.2,1251,85.3,11,2.1,1659,318.5,1408,95.9,19,3.6,1895,360.5,1625,111.7,12,2.3,2135,403.6,1716,119.5,22,4.1,2317,435.6,1753,122.9,20,3.7,2482,463.8,1713,119.9,20,3.7,2299,425.3,1737,123.3,17,3.1,2396,438.5,1851,131.3,16,2.9,2632,478.8
"합계",서초구,2027,106.6,17,4.1,2959,716.3,2168,114.9,7,1.7,3319,805.4,2264,120.1,8,2.0,3391,830.2,2118,112.2,8,1.9,2932,704.5,2250,116.2,9,2.1,3075,716.7,2418,124.9,14,3.2,3530,811.3,2478,126.9,18,4.1,3640,830.7,2361,120.7,21,4.7,3548,796.6,2313,119.0,16,3.5,3473,769.3,2160,111.8,20,4.4,3358,744.1,2217,114.6,13,2.9,3446,758.5,2055,110.0,19,4.3,3304,739.9,2090,113.1,25,5.7,3214,730.5,2048,112.8,17,3.9,3189,726.4,2152,119.2,20,4.5,3372,766.3
"합계",강남구,3754,138.8,11,2.0,4863,863.4,3926,145.7,7,1.3,5229,950.2,3709,140.0,16,3.0,5052,945.9,3820,149.1,10,1.9,5175,962.3,3752,147.5,17,3.1,5189,953.8,3722,147.4,14,2.5,5182,941.8,3459,137.2,20,3.7,4967,907.3,3469,136.0,19,3.4,4959,883.9,3828,147.3,12,2.1,5445,951.7,3970,151.8,20,3.4,5686,977.4,3624,140.3,17,2.9,5269,903.1,3610,143.2,31,5.4,5326,935.8,3843,151.4,25,4.4,5666,994.0,3562,136.1,36,6.3,5184,904.7,3551,131.9,31,5.4,5176,896.9
"합계",송파구,2500,95.5,20,3.0,3424,521.7,2614,99.4,10,1.5,3603,545.9,2581,95.7,9,1.4,3594,540.8,2607,97.6,14,2.1,3509,528.5,2595,97.3,11,1.6,3509,520.7,2892,110.4,13,1.9,4003,586.3,2860,111.9,27,4.0,3932,583.8,2758,109.9,23,3.4,3805,566.9,2598,107.7,14,2.1,3646,548.3,2687,113.2,16,2.4,3763,563.8,2608,111.2,24,3.6,3635,541.1,2473,106.8,21,3.1,3556,526.8,2844,123.1,14,2.1,4060,596.9,2554,110.4,36,5.2,3632,526.0,2573,112.0,16,2.3,3742,539.9
"합계",강동구,1428,79.9,9,1.9,1921,399.0,1185,69.1,4,0.9,1522,328.5,1151,67.5,7,1.5,1553,334.7,1047,61.7,9,1.9,1413,302.9,1268,75.9,7,1.5,1600,344.8,1414,90.5,11,2.5,1910,433.7,1418,93.5,12,2.8,1922,445.0,1371,89.6,19,4.3,1873,425.3,1426,93.3,17,3.8,1957,436.4,1494,96.6,23,5.0,2129,459.5,1442,91.6,14,2.9,2014,418.4,1356,86.3,12,2.5,1942,398.0,1458,92.8,18,3.7,2029,411.8,1423,89.9,13,2.6,2080,415.6,1410,90.7,14,2.8,1945,391.4
